age,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,sex_F,famsize_GT3,Pstatus_T,address_U,schoolsup_YES,famsup_YES,activities_YES,paid_YES,internet_YES,nursery_YES,higher_YES,romantic_YES,school_GP,G1,G2,G3_,G3
18,4,4,1,4,1,2,2,2,0,4,3,4,1,1,3,6,1,0,0,1,1,0,0,0,0,1,1,0,1,5,6,0,FAIL
17,1,1,1,5,1,1,1,2,0,5,3,3,1,1,3,4,1,0,1,1,0,1,0,0,1,0,1,0,1,5,5,0,FAIL
15,1,1,1,5,4,2,1,2,3,4,3,2,2,3,3,10,1,1,1,1,1,0,0,1,1,1,1,0,1,7,8,1,PASS
15,4,2,2,3,2,2,1,3,0,3,2,2,1,1,5,2,1,0,1,1,0,1,1,1,1,1,1,1,1,15,14,1,PASS
16,3,3,5,5,2,1,1,2,0,4,3,2,1,2,5,4,1,0,1,1,0,1,0,1,0,1,1,0,1,6,10,1,PASS
16,4,3,3,5,3,2,1,2,0,5,4,2,1,2,5,10,0,1,1,1,0,1,1,1,1,1,1,0,1,15,15,1,PASS
16,2,2,5,5,2,2,1,2,0,4,4,4,1,1,3,0,0,1,1,1,0,0,0,0,1,1,1,0,1,12,12,1,PASS
17,4,4,5,4,2,2,2,2,0,4,1,4,1,1,1,6,1,0,0,1,1,1,0,0,0,1,1,0,1,6,5,0,FAIL
15,3,2,3,5,2,2,1,2,0,4,2,2,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,16,18,1,PASS
15,3,4,5,5,2,2,1,2,0,5,5,1,1,1,5,0,0,0,1,1,0,1,1,1,1,1,1,0,1,14,15,1,PASS
15,4,4,4,2,3,2,1,2,0,3,3,3,1,2,2,0,1,0,1,1,0,1,0,1,1,1,1,0,1,10,8,0,FAIL
15,2,1,3,5,3,1,3,3,0,5,2,2,1,1,4,4,1,0,1,1,0,1,1,0,1,1,1,0,1,10,12,1,PASS
15,4,4,2,3,1,1,1,1,0,4,3,3,1,3,5,2,0,1,1,1,0,1,1,1,1,1,1,0,1,14,14,1,PASS
15,4,3,4,5,1,2,2,2,0,5,4,3,1,2,3,2,0,0,1,1,0,1,0,1,1,1,1,0,1,10,10,1,PASS
15,2,2,5,5,2,3,1,3,0,4,5,2,1,1,3,0,0,0,0,1,0,1,0,0,1,1,1,1,1,14,16,1,PASS
16,4,4,2,5,2,2,1,1,0,4,4,4,1,2,2,4,1,0,1,1,0,1,0,0,1,1,1,0,1,14,14,1,PASS
16,4,4,3,3,3,2,1,3,0,3,2,3,1,2,2,6,1,0,1,1,0,1,1,1,1,1,1,0,1,13,14,1,PASS
16,3,3,5,5,3,2,3,2,0,5,3,2,1,1,4,4,1,0,1,1,1,1,1,0,0,1,1,0,1,8,10,1,PASS
17,3,2,3,3,1,2,1,1,3,5,5,5,2,4,5,16,0,0,1,1,0,1,1,0,1,1,1,0,1,6,5,0,FAIL
16,4,3,2,5,2,1,1,1,0,3,1,3,1,3,5,4,0,1,1,1,0,0,1,1,1,1,1,0,1,8,10,1,PASS
15,4,3,4,5,3,2,1,2,0,4,4,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,13,14,1,PASS
15,4,4,2,2,4,1,1,1,0,5,4,2,1,1,5,0,0,0,1,1,0,1,0,1,1,1,1,0,1,12,15,1,PASS
16,4,2,4,5,1,2,1,2,0,4,5,1,1,3,5,2,0,1,1,1,0,0,1,0,1,1,1,0,1,15,15,1,PASS
16,2,2,5,5,3,2,2,2,0,5,4,4,2,4,5,0,0,1,1,1,0,1,1,0,1,1,1,0,1,13,13,1,PASS
15,2,4,3,2,1,2,1,3,0,4,3,2,1,1,5,2,1,0,1,0,1,1,1,1,1,1,1,0,1,10,9,0,FAIL
16,2,2,3,3,2,2,1,1,2,1,2,2,1,3,5,14,1,0,1,1,0,1,0,1,1,0,1,0,1,6,9,0,FAIL
15,2,2,5,5,2,2,1,1,0,4,2,2,1,2,5,2,0,0,1,1,0,1,0,1,1,1,1,0,1,12,12,1,PASS
15,4,2,2,3,4,2,1,1,0,2,2,4,2,4,1,4,0,0,1,1,0,0,0,1,1,1,1,0,1,15,16,1,PASS
