,age,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,sex_F,famsize_GT3,Pstatus_T,address_U,schoolsup_YES,famsup_YES,activities_YES,paid_YES,internet_YES,nursery_YES,higher_YES,romantic_YES,school_GP,G1,G2,G3
0,18,4,4,1,4,1,2,2,2,0,4,3,4,1,1,3,6,1,0,0,1,1,0,0,0,0,1,1,0,1,5,6,FAIL
1,17,1,1,1,5,1,1,1,2,0,5,3,3,1,1,3,4,1,0,1,1,0,1,0,0,1,0,1,0,1,5,5,FAIL
2,15,1,1,1,5,4,2,1,2,3,4,3,2,2,3,3,10,1,1,1,1,1,0,0,1,1,1,1,0,1,7,8,PASS
3,15,4,2,2,3,2,2,1,3,0,3,2,2,1,1,5,2,1,0,1,1,0,1,1,1,1,1,1,1,1,15,14,PASS
4,16,3,3,5,5,2,1,1,2,0,4,3,2,1,2,5,4,1,0,1,1,0,1,0,1,0,1,1,0,1,6,10,PASS
5,16,4,3,3,5,3,2,1,2,0,5,4,2,1,2,5,10,0,1,1,1,0,1,1,1,1,1,1,0,1,15,15,PASS
6,16,2,2,5,5,2,2,1,2,0,4,4,4,1,1,3,0,0,1,1,1,0,0,0,0,1,1,1,0,1,12,12,PASS
7,17,4,4,5,4,2,2,2,2,0,4,1,4,1,1,1,6,1,0,0,1,1,1,0,0,0,1,1,0,1,6,5,FAIL
8,15,3,2,3,5,2,2,1,2,0,4,2,2,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,16,18,PASS
9,15,3,4,5,5,2,2,1,2,0,5,5,1,1,1,5,0,0,0,1,1,0,1,1,1,1,1,1,0,1,14,15,PASS
10,15,4,4,4,2,3,2,1,2,0,3,3,3,1,2,2,0,1,0,1,1,0,1,0,1,1,1,1,0,1,10,8,FAIL
11,15,2,1,3,5,3,1,3,3,0,5,2,2,1,1,4,4,1,0,1,1,0,1,1,0,1,1,1,0,1,10,12,PASS
12,15,4,4,2,3,1,1,1,1,0,4,3,3,1,3,5,2,0,1,1,1,0,1,1,1,1,1,1,0,1,14,14,PASS
13,15,4,3,4,5,1,2,2,2,0,5,4,3,1,2,3,2,0,0,1,1,0,1,0,1,1,1,1,0,1,10,10,PASS
14,15,2,2,5,5,2,3,1,3,0,4,5,2,1,1,3,0,0,0,0,1,0,1,0,0,1,1,1,1,1,14,16,PASS
15,16,4,4,2,5,2,2,1,1,0,4,4,4,1,2,2,4,1,0,1,1,0,1,0,0,1,1,1,0,1,14,14,PASS
16,16,4,4,3,3,3,2,1,3,0,3,2,3,1,2,2,6,1,0,1,1,0,1,1,1,1,1,1,0,1,13,14,PASS
17,16,3,3,5,5,3,2,3,2,0,5,3,2,1,1,4,4,1,0,1,1,1,1,1,0,0,1,1,0,1,8,10,PASS
18,17,3,2,3,3,1,2,1,1,3,5,5,5,2,4,5,16,0,0,1,1,0,1,1,0,1,1,1,0,1,6,5,FAIL
19,16,4,3,2,5,2,1,1,1,0,3,1,3,1,3,5,4,0,1,1,1,0,0,1,1,1,1,1,0,1,8,10,PASS
20,15,4,3,4,5,3,2,1,2,0,4,4,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,13,14,PASS
21,15,4,4,2,2,4,1,1,1,0,5,4,2,1,1,5,0,0,0,1,1,0,1,0,1,1,1,1,0,1,12,15,PASS
22,16,4,2,4,5,1,2,1,2,0,4,5,1,1,3,5,2,0,1,1,1,0,0,1,0,1,1,1,0,1,15,15,PASS
23,16,2,2,5,5,3,2,2,2,0,5,4,4,2,4,5,0,0,1,1,1,0,1,1,0,1,1,1,0,1,13,13,PASS
24,15,2,4,3,2,1,2,1,3,0,4,3,2,1,1,5,2,1,0,1,0,1,1,1,1,1,1,1,0,1,10,9,FAIL
25,16,2,2,3,3,2,2,1,1,2,1,2,2,1,3,5,14,1,0,1,1,0,1,0,1,1,0,1,0,1,6,9,FAIL
26,15,2,2,5,5,2,2,1,1,0,4,2,2,1,2,5,2,0,0,1,1,0,1,0,1,1,1,1,0,1,12,12,PASS
27,15,4,2,2,3,4,2,1,1,0,2,2,4,2,4,1,4,0,0,1,1,0,0,0,1,1,1,1,0,1,15,16,PASS
28,16,3,4,3,5,2,2,1,2,0,5,3,3,1,1,5,4,0,1,0,1,1,1,1,0,1,1,1,0,1,11,11,PASS
29,16,4,4,4,4,2,2,1,2,0,4,4,5,5,5,5,16,0,0,1,1,0,1,1,1,1,1,1,1,1,10,12,PASS
30,15,4,4,2,3,2,2,1,2,0,5,4,2,3,4,5,0,0,0,1,1,0,1,0,1,1,0,1,0,1,9,11,PASS
31,15,4,4,3,3,3,2,2,2,0,4,3,1,1,1,5,0,0,0,1,1,0,1,1,0,1,1,1,0,1,17,16,PASS
32,15,4,3,4,1,1,2,1,2,0,4,5,2,1,1,5,0,0,0,1,0,0,1,1,0,1,1,1,1,1,17,16,PASS
33,15,3,3,5,5,1,2,1,2,0,5,3,2,1,1,2,0,0,1,1,1,0,0,1,0,1,0,1,0,1,8,10,PASS
34,16,3,2,5,5,2,2,1,1,0,5,4,3,1,1,5,0,0,0,1,1,0,1,0,1,1,0,1,0,1,12,14,PASS
35,15,2,3,5,5,4,1,2,1,0,3,5,1,1,1,5,0,1,0,1,1,0,1,1,0,0,1,1,0,1,8,7,FAIL
36,15,4,3,4,3,2,2,1,3,0,5,4,3,1,1,4,2,0,1,1,1,0,1,1,0,1,1,1,0,1,15,16,PASS
37,16,4,4,5,4,3,2,2,3,0,2,4,3,1,1,5,7,0,0,0,0,0,1,1,0,1,1,1,1,1,15,16,PASS
38,15,3,4,3,2,1,2,1,3,0,4,3,2,1,1,5,2,1,0,1,0,1,1,1,1,1,1,1,0,1,12,12,PASS
39,15,2,2,1,5,3,2,1,1,0,4,3,1,1,1,2,8,1,0,1,0,1,1,1,1,0,1,1,0,1,14,13,PASS
40,16,2,2,5,5,2,2,2,2,1,3,3,3,1,2,3,25,1,1,1,1,0,1,1,0,1,0,1,1,1,7,10,PASS
41,15,4,4,4,5,2,3,1,1,0,5,4,3,2,4,5,8,0,1,1,1,0,1,0,0,1,0,1,1,1,12,12,PASS
42,15,4,4,3,4,1,1,1,2,0,4,3,3,1,1,5,2,0,0,1,1,0,1,1,0,1,1,1,0,1,19,18,PASS
43,15,2,2,3,3,1,1,1,1,0,5,4,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,8,8,PASS
44,16,2,2,5,1,1,1,2,2,1,4,3,3,2,2,5,14,1,1,1,1,1,0,1,0,1,1,1,0,1,10,10,FAIL
45,15,4,3,5,5,1,2,1,2,0,5,2,2,1,1,5,8,1,1,0,1,1,1,1,1,1,1,1,1,1,8,8,FAIL
46,16,3,3,5,3,2,2,1,2,0,2,3,5,1,4,3,12,1,1,0,1,0,1,0,0,1,1,1,0,1,11,12,PASS
47,16,4,3,2,3,3,2,1,4,0,4,2,2,1,1,2,4,0,0,1,1,0,0,1,0,1,1,1,0,1,19,19,PASS
48,15,4,2,4,5,2,2,1,2,0,4,3,3,2,2,5,2,0,0,1,1,0,1,0,1,0,1,1,0,1,15,15,PASS
49,15,4,4,3,4,4,1,1,2,1,4,4,4,1,1,3,2,1,0,1,1,1,1,1,0,1,0,1,0,1,7,7,FAIL
50,16,2,2,3,3,1,2,3,2,0,4,3,3,2,3,4,2,1,1,1,1,0,1,0,1,1,1,1,0,1,12,13,PASS
51,15,4,2,2,5,4,2,1,2,0,4,3,3,1,1,5,2,1,1,1,1,0,1,0,1,1,1,1,0,1,11,13,PASS
52,15,4,2,2,2,4,1,2,1,1,5,5,5,3,4,5,6,0,1,0,1,0,0,0,0,0,1,1,0,1,11,11,PASS
53,15,4,4,3,3,1,2,1,1,0,3,3,4,2,3,5,0,1,0,1,1,1,1,0,1,1,1,1,0,1,8,10,PASS
54,15,3,3,5,5,4,2,1,1,0,5,3,4,4,4,1,6,1,1,0,1,0,0,0,1,1,1,1,0,1,10,13,PASS
55,16,2,1,5,5,4,2,1,2,0,5,3,4,1,1,2,8,1,0,0,1,0,0,1,1,1,1,1,1,1,8,9,PASS
56,15,4,3,3,3,3,2,1,2,0,4,3,2,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,14,15,PASS
57,15,4,4,4,2,3,2,1,2,0,3,2,2,1,1,5,4,0,0,1,1,0,1,1,0,0,1,1,0,1,14,15,PASS
58,15,1,2,5,1,2,1,1,2,0,4,3,2,1,1,5,2,0,1,1,1,1,1,1,0,1,1,1,0,1,9,10,FAIL
59,16,4,2,3,5,1,2,1,2,0,4,2,3,1,1,5,2,1,0,1,1,0,1,0,0,1,1,1,0,1,15,16,PASS
60,16,4,4,2,4,4,2,1,2,0,2,4,4,2,3,4,6,1,0,1,0,0,1,1,0,0,1,1,0,1,10,11,PASS
61,16,1,1,3,3,1,1,4,1,0,5,5,5,5,5,5,6,1,0,1,1,1,1,1,0,1,0,1,1,1,10,8,PASS
62,16,1,2,5,3,3,1,1,2,0,4,4,3,1,1,1,4,1,1,1,1,1,0,1,0,1,1,1,0,1,8,10,FAIL
63,16,4,3,4,2,2,2,1,3,0,3,4,4,2,4,4,2,1,0,1,1,1,1,1,1,1,1,1,0,1,10,9,FAIL
64,15,4,3,3,3,3,1,1,2,0,4,4,4,2,4,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,10,10,PASS
65,16,4,3,4,3,1,2,3,2,0,5,4,3,1,2,1,2,1,1,1,1,0,1,1,0,1,1,1,0,1,16,15,PASS
66,15,4,4,5,3,3,2,1,4,0,1,3,3,5,5,3,4,0,0,0,1,0,1,1,0,1,0,1,1,1,13,13,PASS
67,16,3,1,3,5,1,2,1,4,0,4,3,3,1,2,5,4,1,0,1,1,1,1,0,1,1,1,1,0,1,7,7,FAIL
68,15,2,2,2,3,3,2,2,2,0,4,1,3,1,3,4,2,1,1,1,0,1,1,0,1,1,1,1,0,1,8,9,FAIL
69,15,3,1,5,5,3,1,2,4,0,4,4,2,2,3,3,12,1,1,1,0,0,1,0,0,1,0,1,0,1,16,16,PASS
70,16,3,1,5,5,3,1,2,4,0,4,3,2,1,1,5,0,0,0,1,1,0,1,0,1,1,1,1,0,1,13,15,PASS
71,15,4,2,5,5,1,2,1,4,0,3,3,3,1,1,3,0,0,0,1,1,0,0,0,0,1,1,1,0,1,10,10,PASS
72,15,1,1,5,5,3,2,1,2,2,3,3,4,2,4,5,2,1,0,1,0,1,1,0,0,1,0,1,1,1,8,6,FAIL
73,16,3,1,5,5,3,2,1,1,0,5,3,2,2,2,5,2,0,0,1,1,0,0,1,0,0,1,1,0,1,12,12,PASS
74,16,3,3,5,3,2,2,1,2,0,4,3,3,2,4,5,54,1,0,1,1,1,1,1,1,1,1,1,0,1,11,12,PASS
75,15,4,3,4,5,2,2,1,2,0,4,3,3,2,3,5,6,0,0,1,1,0,1,1,1,1,1,1,0,1,9,9,PASS
76,15,4,0,4,5,1,2,2,4,0,3,4,3,1,1,1,8,0,0,1,1,0,0,1,0,1,1,1,0,1,11,11,PASS
77,16,2,2,5,5,3,2,1,4,0,5,2,3,1,3,3,0,1,0,1,1,0,0,0,1,1,1,1,1,1,11,11,PASS
78,17,2,1,5,5,2,2,2,1,3,4,5,1,1,1,3,2,0,0,1,1,1,1,1,0,1,1,0,0,1,8,8,PASS
79,16,3,4,1,5,1,2,1,2,0,2,4,3,1,2,3,12,1,0,1,1,0,1,0,0,1,1,1,0,1,5,5,FAIL
80,15,2,3,5,3,1,1,1,1,0,3,2,2,1,3,3,2,0,0,1,1,1,1,1,1,1,0,1,1,1,10,12,PASS
