,age,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,sex_F,famsize_GT3,Pstatus_T,address_U,schoolsup_YES,famsup_YES,activities_YES,paid_YES,internet_YES,nursery_YES,higher_YES,romantic_YES,school_GP,G1,G2,G3
0,18,4,4,1,4,1,2,2,2,0,4,3,4,1,1,3,4,1,0,0,1,1,0,0,0,0,1,1,0,1,0,11,1
1,17,1,1,1,5,1,1,1,2,0,5,3,3,1,1,3,2,1,0,1,1,0,1,0,0,1,0,1,0,1,9,11,1
2,15,1,1,1,5,4,2,1,2,0,4,3,2,2,3,3,6,1,1,1,1,1,0,0,0,1,1,1,0,1,12,13,1
3,15,4,2,2,3,2,2,1,3,0,3,2,2,1,1,5,0,1,0,1,1,0,1,1,0,1,1,1,1,1,14,14,1
4,16,3,3,5,5,2,1,1,2,0,4,3,2,1,2,5,0,1,0,1,1,0,1,0,0,0,1,1,0,1,11,13,1
5,16,4,3,3,5,3,2,1,2,0,5,4,2,1,2,5,6,0,1,1,1,0,1,1,0,1,1,1,0,1,12,12,1
6,16,2,2,5,5,2,2,1,2,0,4,4,4,1,1,3,0,0,1,1,1,0,0,0,0,1,1,1,0,1,13,12,1
7,17,4,4,5,4,2,2,2,2,0,4,1,4,1,1,1,2,1,0,0,1,1,1,0,0,0,1,1,0,1,10,13,1
8,15,3,2,3,5,2,2,1,2,0,4,2,2,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,15,16,1
9,15,3,4,5,5,2,2,1,2,0,5,5,1,1,1,5,0,0,0,1,1,0,1,1,0,1,1,1,0,1,12,12,1
10,15,4,4,4,2,3,2,1,2,0,3,3,3,1,2,2,2,1,0,1,1,0,1,0,0,1,1,1,0,1,14,14,1
11,15,2,1,3,5,3,1,3,3,0,5,2,2,1,1,4,0,1,0,1,1,0,1,1,0,1,1,1,0,1,10,12,1
12,15,4,4,2,3,1,1,1,1,0,4,3,3,1,3,5,0,0,1,1,1,0,1,1,0,1,1,1,0,1,12,13,1
13,15,4,3,4,5,1,2,2,2,0,5,4,3,1,2,3,0,0,0,1,1,0,1,0,0,1,1,1,0,1,12,12,1
14,15,2,2,5,5,2,3,1,3,0,4,5,2,1,1,3,0,0,0,0,1,0,1,0,0,1,1,1,1,1,14,14,1
15,16,4,4,2,5,2,2,1,1,0,4,4,4,1,2,2,6,1,0,1,1,0,1,0,0,1,1,1,0,1,17,17,1
16,16,4,4,3,3,3,2,1,3,0,3,2,3,1,2,2,10,1,0,1,1,0,1,1,0,1,1,1,0,1,13,13,1
17,16,3,3,5,5,3,2,3,2,0,5,3,2,1,1,4,2,1,0,1,1,1,1,1,0,0,1,1,0,1,13,14,1
18,17,3,2,3,3,1,2,1,1,3,5,5,5,2,4,5,2,0,0,1,1,0,1,1,1,1,1,1,0,1,8,8,0
19,16,4,3,2,5,2,1,1,1,0,3,1,3,1,3,5,6,0,1,1,1,0,0,1,0,1,1,1,0,1,12,12,1
20,15,4,3,4,5,3,2,1,2,0,4,4,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,12,13,1
