,age,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,sex_F,sex_M,famsize_GT3,Pstatus_T,address_U,schoolsup_YES,famsup_YES,activities_YES,paid_YES,internet_YES,nursery_YES,higher_YES,romantic_YES,school_GP
0,18,4,4,1,4,1,2,2,2,0,4,3,4,1,1,3,4,0,11,11,1,0,0,0,1,1,0,0,0,0,1,1,0,1
1,17,1,1,1,5,1,1,1,2,0,5,3,3,1,1,3,2,9,11,11,1,0,0,1,1,0,1,0,0,1,0,1,0,1
2,15,1,1,1,5,4,2,1,2,0,4,3,2,2,3,3,6,12,13,12,1,0,1,1,1,1,0,0,0,1,1,1,0,1
3,15,4,2,2,3,2,2,1,3,0,3,2,2,1,1,5,0,14,14,14,1,0,0,1,1,0,1,1,0,1,1,1,1,1
4,16,3,3,5,5,2,1,1,2,0,4,3,2,1,2,5,0,11,13,13,1,0,0,1,1,0,1,0,0,0,1,1,0,1
5,16,4,3,3,5,3,2,1,2,0,5,4,2,1,2,5,6,12,12,13,0,1,1,1,1,0,1,1,0,1,1,1,0,1
6,16,2,2,5,5,2,2,1,2,0,4,4,4,1,1,3,0,13,12,13,0,1,1,1,1,0,0,0,0,1,1,1,0,1
7,17,4,4,5,4,2,2,2,2,0,4,1,4,1,1,1,2,10,13,13,1,0,0,0,1,1,1,0,0,0,1,1,0,1
8,15,3,2,3,5,2,2,1,2,0,4,2,2,1,1,1,0,15,16,17,0,1,1,0,1,0,1,0,0,1,1,1,0,1
9,15,3,4,5,5,2,2,1,2,0,5,5,1,1,1,5,0,12,12,13,0,1,0,1,1,0,1,1,0,1,1,1,0,1
10,15,4,4,4,2,3,2,1,2,0,3,3,3,1,2,2,2,14,14,14,1,0,0,1,1,0,1,0,0,1,1,1,0,1
11,15,2,1,3,5,3,1,3,3,0,5,2,2,1,1,4,0,10,12,13,1,0,0,1,1,0,1,1,0,1,1,1,0,1
12,15,4,4,2,3,1,1,1,1,0,4,3,3,1,3,5,0,12,13,12,0,1,1,1,1,0,1,1,0,1,1,1,0,1
13,15,4,3,4,5,1,2,2,2,0,5,4,3,1,2,3,0,12,12,13,0,1,0,1,1,0,1,0,0,1,1,1,0,1
14,15,2,2,5,5,2,3,1,3,0,4,5,2,1,1,3,0,14,14,15,0,1,0,0,1,0,1,0,0,1,1,1,1,1
15,16,4,4,2,5,2,2,1,1,0,4,4,4,1,2,2,6,17,17,17,1,0,0,1,1,0,1,0,0,1,1,1,0,1
16,16,4,4,3,3,3,2,1,3,0,3,2,3,1,2,2,10,13,13,14,1,0,0,1,1,0,1,1,0,1,1,1,0,1
17,16,3,3,5,5,3,2,3,2,0,5,3,2,1,1,4,2,13,14,14,1,0,0,1,1,1,1,1,0,0,1,1,0,1
18,17,3,2,3,3,1,2,1,1,3,5,5,5,2,4,5,2,8,8,7,0,1,0,1,1,0,1,1,1,1,1,1,0,1
19,16,4,3,2,5,2,1,1,1,0,3,1,3,1,3,5,6,12,12,12,0,1,1,1,1,0,0,1,0,1,1,1,0,1
20,15,4,3,4,5,3,2,1,2,0,4,4,1,1,1,1,0,12,13,14,0,1,0,1,1,0,0,0,0,1,1,1,0,1
21,15,4,4,2,2,4,1,1,1,0,5,4,2,1,1,5,0,11,12,12,0,1,0,1,1,0,1,0,1,1,1,1,0,1
22,16,4,2,4,5,1,2,1,2,0,4,5,1,1,3,5,0,12,13,14,0,1,1,1,1,0,0,1,0,1,1,1,0,1
23,16,2,2,5,5,3,2,2,2,0,5,4,4,2,4,5,2,10,10,10,0,1,1,1,1,0,1,1,0,1,1,1,0,1
24,15,2,4,3,2,1,2,1,3,0,4,3,2,1,1,5,2,10,11,10,1,0,0,1,0,1,1,1,0,1,1,1,0,1
25,16,2,2,3,3,2,2,1,1,0,1,2,2,1,3,5,6,10,11,12,1,0,0,1,1,0,1,0,0,1,0,1,0,1
26,15,2,2,5,5,2,2,1,1,0,4,2,2,1,2,5,8,11,12,12,0,1,0,1,1,0,1,0,0,1,1,1,0,1
27,15,4,2,2,3,4,2,1,1,0,2,2,4,2,4,1,0,11,11,11,0,1,0,1,1,0,0,0,0,1,1,1,0,1
28,16,3,4,3,5,2,2,1,2,0,5,3,3,1,1,5,2,12,12,13,0,1,1,0,1,1,1,1,1,1,1,1,0,1
29,16,4,4,4,4,2,2,1,2,0,4,4,5,5,5,5,4,12,11,12,0,1,0,1,1,0,1,1,1,1,1,1,1,1
30,15,4,4,2,3,2,2,1,2,0,5,4,2,3,4,5,0,10,11,11,0,1,0,1,1,0,1,0,1,1,0,1,0,1
31,15,4,4,3,3,3,2,2,2,0,4,3,1,1,1,5,2,15,15,15,0,1,0,1,1,0,1,1,0,1,1,1,0,1
32,15,4,3,4,1,1,2,1,2,0,4,5,2,1,1,5,0,13,14,15,0,1,0,1,0,0,1,1,0,1,1,1,1,1
33,15,3,3,5,5,1,2,1,2,0,5,3,2,1,1,2,0,13,12,12,0,1,1,1,1,0,0,1,0,1,0,1,0,1
34,16,3,2,5,5,2,2,1,1,0,5,4,3,1,1,5,4,12,12,12,0,1,0,1,1,0,1,0,0,1,0,1,0,1
35,15,2,3,5,5,4,1,2,1,0,3,5,1,1,1,5,4,11,11,11,1,0,0,1,1,0,1,1,0,0,1,1,0,1
