,age,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,sex_F,famsize_GT3,Pstatus_T,address_U,schoolsup_YES,famsup_YES,activities_YES,paid_YES,internet_YES,nursery_YES,higher_YES,romantic_YES,school_GP,G1,G2,G3
0,18,4,4,1,4,1,2,2,2,0,4,3,4,1,1,3,4,1,0,0,1,1,0,0,0,0,1,1,0,1,0,11,pass
1,17,1,1,1,5,1,1,1,2,0,5,3,3,1,1,3,2,1,0,1,1,0,1,0,0,1,0,1,0,1,9,11,pass
2,15,1,1,1,5,4,2,1,2,0,4,3,2,2,3,3,6,1,1,1,1,1,0,0,0,1,1,1,0,1,12,13,pass
3,15,4,2,2,3,2,2,1,3,0,3,2,2,1,1,5,0,1,0,1,1,0,1,1,0,1,1,1,1,1,14,14,pass
4,16,3,3,5,5,2,1,1,2,0,4,3,2,1,2,5,0,1,0,1,1,0,1,0,0,0,1,1,0,1,11,13,pass
5,16,4,3,3,5,3,2,1,2,0,5,4,2,1,2,5,6,0,1,1,1,0,1,1,0,1,1,1,0,1,12,12,pass
6,16,2,2,5,5,2,2,1,2,0,4,4,4,1,1,3,0,0,1,1,1,0,0,0,0,1,1,1,0,1,13,12,pass
7,17,4,4,5,4,2,2,2,2,0,4,1,4,1,1,1,2,1,0,0,1,1,1,0,0,0,1,1,0,1,10,13,pass
8,15,3,2,3,5,2,2,1,2,0,4,2,2,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,15,16,pass
9,15,3,4,5,5,2,2,1,2,0,5,5,1,1,1,5,0,0,0,1,1,0,1,1,0,1,1,1,0,1,12,12,pass
10,15,4,4,4,2,3,2,1,2,0,3,3,3,1,2,2,2,1,0,1,1,0,1,0,0,1,1,1,0,1,14,14,pass
11,15,2,1,3,5,3,1,3,3,0,5,2,2,1,1,4,0,1,0,1,1,0,1,1,0,1,1,1,0,1,10,12,pass
12,15,4,4,2,3,1,1,1,1,0,4,3,3,1,3,5,0,0,1,1,1,0,1,1,0,1,1,1,0,1,12,13,pass
13,15,4,3,4,5,1,2,2,2,0,5,4,3,1,2,3,0,0,0,1,1,0,1,0,0,1,1,1,0,1,12,12,pass
14,15,2,2,5,5,2,3,1,3,0,4,5,2,1,1,3,0,0,0,0,1,0,1,0,0,1,1,1,1,1,14,14,pass
15,16,4,4,2,5,2,2,1,1,0,4,4,4,1,2,2,6,1,0,1,1,0,1,0,0,1,1,1,0,1,17,17,pass
16,16,4,4,3,3,3,2,1,3,0,3,2,3,1,2,2,10,1,0,1,1,0,1,1,0,1,1,1,0,1,13,13,pass
17,16,3,3,5,5,3,2,3,2,0,5,3,2,1,1,4,2,1,0,1,1,1,1,1,0,0,1,1,0,1,13,14,pass
18,17,3,2,3,3,1,2,1,1,3,5,5,5,2,4,5,2,0,0,1,1,0,1,1,1,1,1,1,0,1,8,8,fail
19,16,4,3,2,5,2,1,1,1,0,3,1,3,1,3,5,6,0,1,1,1,0,0,1,0,1,1,1,0,1,12,12,pass
20,15,4,3,4,5,3,2,1,2,0,4,4,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,12,13,pass
21,15,4,4,2,2,4,1,1,1,0,5,4,2,1,1,5,0,0,0,1,1,0,1,0,1,1,1,1,0,1,11,12,pass
22,16,4,2,4,5,1,2,1,2,0,4,5,1,1,3,5,0,0,1,1,1,0,0,1,0,1,1,1,0,1,12,13,pass
23,16,2,2,5,5,3,2,2,2,0,5,4,4,2,4,5,2,0,1,1,1,0,1,1,0,1,1,1,0,1,10,10,pass
24,15,2,4,3,2,1,2,1,3,0,4,3,2,1,1,5,2,1,0,1,0,1,1,1,0,1,1,1,0,1,10,11,pass
25,16,2,2,3,3,2,2,1,1,0,1,2,2,1,3,5,6,1,0,1,1,0,1,0,0,1,0,1,0,1,10,11,pass
26,15,2,2,5,5,2,2,1,1,0,4,2,2,1,2,5,8,0,0,1,1,0,1,0,0,1,1,1,0,1,11,12,pass
27,15,4,2,2,3,4,2,1,1,0,2,2,4,2,4,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,11,11,pass
28,16,3,4,3,5,2,2,1,2,0,5,3,3,1,1,5,2,0,1,0,1,1,1,1,1,1,1,1,0,1,12,12,pass
29,16,4,4,4,4,2,2,1,2,0,4,4,5,5,5,5,4,0,0,1,1,0,1,1,1,1,1,1,1,1,12,11,pass
30,15,4,4,2,3,2,2,1,2,0,5,4,2,3,4,5,0,0,0,1,1,0,1,0,1,1,0,1,0,1,10,11,pass
31,15,4,4,3,3,3,2,2,2,0,4,3,1,1,1,5,2,0,0,1,1,0,1,1,0,1,1,1,0,1,15,15,pass
32,15,4,3,4,1,1,2,1,2,0,4,5,2,1,1,5,0,0,0,1,0,0,1,1,0,1,1,1,1,1,13,14,pass
33,15,3,3,5,5,1,2,1,2,0,5,3,2,1,1,2,0,0,1,1,1,0,0,1,0,1,0,1,0,1,13,12,pass
34,16,3,2,5,5,2,2,1,1,0,5,4,3,1,1,5,4,0,0,1,1,0,1,0,0,1,0,1,0,1,12,12,pass
35,15,2,3,5,5,4,1,2,1,0,3,5,1,1,1,5,4,1,0,1,1,0,1,1,0,0,1,1,0,1,11,11,pass
36,15,4,3,4,3,2,2,1,3,0,5,4,3,1,1,4,0,0,1,1,1,0,1,1,0,1,1,1,0,1,14,14,pass
37,16,4,4,5,4,3,2,2,3,0,2,4,3,1,1,5,4,0,0,0,0,0,1,1,0,1,1,1,1,1,13,13,pass
38,15,3,4,3,2,1,2,1,3,0,4,3,2,1,1,5,2,1,0,1,0,1,1,1,0,1,1,1,0,1,11,12,pass
39,15,2,2,1,5,3,2,1,1,0,4,3,1,1,1,2,8,1,0,1,0,1,1,1,0,0,1,1,0,1,14,13,pass
40,16,2,2,5,5,2,2,2,2,0,3,3,3,1,2,3,16,1,1,1,1,0,1,1,0,1,0,1,1,1,11,11,pass
41,15,4,4,4,5,2,3,1,1,0,5,4,3,2,4,5,8,0,1,1,1,0,1,0,0,1,0,1,1,1,10,11,pass
42,15,4,4,3,4,1,1,1,2,0,4,3,3,1,1,5,0,0,0,1,1,0,1,1,0,1,1,1,0,1,14,15,pass
43,15,2,2,3,3,1,1,1,1,0,5,4,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,9,10,pass
44,16,2,2,5,1,1,1,2,2,1,4,3,3,2,2,5,14,1,1,1,1,1,0,1,0,1,1,1,0,1,10,11,pass
45,15,4,3,5,5,1,2,1,2,0,5,2,2,1,1,5,4,1,1,0,1,1,1,1,1,1,1,1,1,1,10,11,pass
46,16,3,3,5,3,2,2,1,2,0,2,3,5,1,4,3,6,1,1,0,1,0,1,0,0,1,1,1,0,1,13,12,pass
47,16,4,3,2,3,3,2,1,4,0,4,2,2,1,1,2,2,0,0,1,1,0,0,1,0,1,1,1,0,1,17,17,pass
48,15,4,2,4,5,2,2,1,2,0,4,3,3,2,2,5,4,0,0,1,1,0,1,0,0,0,1,1,0,1,11,12,pass
49,15,4,4,3,4,4,1,1,2,0,4,4,4,1,1,3,2,1,0,1,1,1,1,1,0,1,0,1,0,1,13,12,pass
50,16,2,2,3,3,1,2,3,2,0,4,3,3,2,3,4,0,1,1,1,1,0,1,0,0,1,1,1,0,1,14,13,pass
51,15,4,2,2,5,4,2,1,2,0,4,3,3,1,1,5,0,1,1,1,1,0,1,0,0,1,1,1,0,1,16,14,pass
52,15,4,2,2,2,4,1,2,1,0,5,5,5,3,4,5,4,0,1,0,1,0,0,0,0,0,1,1,0,1,10,9,fail
53,15,4,4,3,3,1,2,1,1,0,3,3,4,2,3,5,0,1,0,1,1,1,1,0,0,1,1,1,0,1,13,12,pass
54,15,3,3,5,5,4,2,1,1,0,5,3,4,4,4,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,13,12,pass
55,16,2,1,5,5,4,2,1,2,0,5,3,4,1,1,2,2,1,0,0,1,0,0,1,0,1,1,1,1,1,12,13,pass
56,15,4,3,3,3,3,2,1,2,0,4,3,2,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,15,14,pass
57,15,4,4,4,2,3,2,1,2,0,3,2,2,1,1,5,8,0,0,1,1,0,1,1,0,0,1,1,0,1,15,15,pass
58,15,1,2,5,1,2,1,1,2,0,4,3,2,1,1,5,0,0,1,1,1,1,1,1,0,1,1,1,0,1,14,13,pass
59,16,4,2,3,5,1,2,1,2,0,4,2,3,1,1,5,2,1,0,1,1,0,1,0,1,1,1,1,0,1,16,15,pass
60,16,4,4,2,4,4,2,1,2,0,2,4,4,2,3,4,0,1,0,1,0,0,1,1,0,0,1,1,0,1,17,16,pass
61,16,1,1,3,3,1,1,4,1,0,5,5,5,5,5,5,0,1,0,1,1,1,1,1,0,1,0,1,1,1,10,10,pass
62,16,1,2,5,3,3,1,1,2,0,4,4,3,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,13,13,pass
63,16,4,3,4,2,2,2,1,3,0,3,4,4,2,4,4,0,1,0,1,1,1,1,1,0,1,1,1,0,1,14,13,pass
64,15,4,3,3,3,3,1,1,2,0,4,4,4,2,4,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,13,12,pass
65,16,4,3,4,3,1,2,3,2,0,5,4,3,1,2,1,2,1,1,1,1,0,1,1,0,1,1,1,0,1,16,15,pass
66,15,4,4,5,3,3,2,1,4,0,1,3,3,5,5,3,0,0,0,0,1,0,1,1,0,1,0,1,1,1,11,12,pass
67,16,3,1,3,5,1,2,1,4,0,4,3,3,1,2,5,0,1,0,1,1,1,1,0,0,1,1,1,0,1,10,9,pass
68,15,2,2,2,3,3,2,2,2,0,4,1,3,1,3,4,0,1,1,1,0,1,1,0,0,1,1,1,0,1,11,10,pass
69,15,3,1,5,5,3,1,2,4,0,4,4,2,2,3,3,6,1,1,1,0,0,1,0,0,1,0,1,0,1,15,15,pass
70,16,3,1,5,5,3,1,2,4,0,4,3,2,1,1,5,2,0,0,1,1,0,1,0,0,1,1,1,0,1,13,11,pass
71,15,4,2,5,5,1,2,1,4,0,3,3,3,1,1,3,0,0,0,1,1,0,0,0,0,1,1,1,0,1,11,9,pass
72,15,1,1,5,5,3,2,1,2,0,3,3,4,2,4,5,2,1,0,1,0,1,1,0,0,1,0,1,1,1,13,11,pass
73,16,3,1,5,5,3,2,1,1,0,5,3,2,2,2,5,0,0,0,1,1,0,0,1,0,0,1,1,0,1,13,13,pass
74,16,3,3,5,3,2,2,1,2,0,4,3,3,2,4,5,4,1,0,1,1,1,1,1,0,1,1,1,0,1,11,11,pass
75,15,4,3,4,5,2,2,1,2,0,4,3,3,2,3,5,0,0,0,1,1,0,1,1,0,1,1,1,0,1,11,11,pass
76,15,4,0,4,5,1,2,2,4,0,3,4,3,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,12,11,pass
77,16,2,2,5,5,3,2,1,4,0,5,2,3,1,3,3,1,1,0,1,1,0,0,0,0,1,1,1,1,1,13,13,pass
78,17,2,1,5,5,2,2,2,1,3,4,5,1,1,1,3,0,0,0,1,1,1,1,1,0,1,1,0,0,1,9,9,pass
79,16,3,4,1,5,1,2,1,2,0,2,4,3,1,2,3,14,1,0,1,1,0,1,0,0,1,1,1,0,1,12,11,pass
80,15,2,3,5,3,1,1,1,1,0,3,2,2,1,3,3,0,0,0,1,1,1,1,1,0,1,0,1,1,1,11,11,pass
81,15,2,3,5,5,2,2,1,3,0,5,3,2,1,2,5,2,0,0,1,1,1,0,0,0,1,0,1,0,1,10,9,fail
82,15,3,2,3,5,3,2,1,2,0,4,4,4,1,1,5,4,1,1,1,1,0,1,0,0,1,1,1,0,1,12,11,pass
83,15,2,2,3,3,2,2,2,2,0,5,3,3,1,3,4,2,0,1,1,1,0,0,1,1,1,1,1,0,1,13,12,pass
84,15,1,1,5,5,2,1,1,2,0,4,3,2,2,3,4,2,1,0,1,1,0,1,1,0,1,0,1,0,1,13,12,pass
85,15,4,4,3,3,3,1,2,2,0,4,4,4,2,3,5,4,1,0,1,1,0,0,0,0,1,1,1,1,1,12,11,pass
86,16,2,2,1,5,1,2,1,2,0,4,3,4,1,2,2,6,1,1,1,1,0,1,0,0,0,1,1,0,1,13,11,pass
87,15,4,2,5,5,3,2,1,3,0,5,3,3,1,3,1,4,1,0,1,1,0,1,1,0,1,1,1,0,1,15,15,pass
88,16,2,2,3,5,3,1,2,2,0,4,4,2,1,1,3,6,0,0,1,1,0,0,1,0,1,0,1,0,1,12,10,pass
89,16,4,4,4,2,3,2,1,2,0,4,1,3,3,5,5,6,0,1,0,1,0,1,0,0,0,1,1,0,1,9,9,pass
90,16,3,3,5,5,2,2,1,3,0,4,3,3,1,3,4,2,1,0,1,1,0,1,0,0,1,1,1,1,1,9,11,pass
91,15,4,3,3,5,3,2,1,1,0,4,5,5,1,3,1,6,1,0,1,1,0,0,1,0,1,1,1,0,1,14,13,pass
92,16,3,1,5,5,2,1,1,2,0,3,3,3,2,3,2,0,1,1,1,1,1,1,0,0,0,1,1,0,1,12,13,pass
93,16,4,2,4,3,2,2,2,2,0,5,3,3,1,1,1,2,1,0,1,1,0,1,1,0,1,1,1,0,1,13,14,pass
94,15,2,2,3,2,3,2,1,4,0,4,3,4,1,1,4,2,0,1,1,1,0,1,1,0,1,1,1,0,1,11,12,pass
95,15,1,1,1,5,2,2,2,4,0,3,1,2,1,1,1,4,1,0,1,0,1,1,1,1,1,1,1,0,1,13,13,pass
96,16,4,3,3,5,3,2,2,1,0,3,3,3,1,1,4,6,0,0,1,0,1,1,1,1,1,0,1,0,1,9,11,pass
97,16,2,1,5,5,1,2,1,2,0,4,3,5,1,1,5,0,1,0,1,1,0,1,0,0,0,1,1,1,1,13,12,pass
98,16,4,4,5,5,3,2,1,1,0,5,3,4,1,2,1,4,1,0,1,1,0,0,1,0,1,0,1,0,1,12,13,pass
99,16,4,3,5,1,1,2,1,3,0,5,3,5,1,1,3,2,1,0,1,1,1,1,0,0,1,1,1,0,1,12,13,pass
100,16,4,4,3,3,4,2,1,1,0,4,5,5,5,5,4,12,0,0,1,1,1,1,1,0,1,1,1,0,1,9,9,fail
101,16,4,4,3,4,4,1,1,3,0,4,4,3,1,1,4,0,0,0,1,1,0,1,1,0,1,1,1,1,1,16,16,pass
102,15,4,4,3,5,1,2,1,1,0,5,3,3,1,1,5,2,0,0,1,1,0,1,1,1,1,0,1,0,1,12,13,pass
103,15,3,2,3,5,2,2,2,2,0,4,3,5,1,1,2,16,1,0,1,1,1,1,0,0,1,1,1,0,1,11,10,pass
104,15,3,4,3,5,1,2,1,2,0,5,4,4,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,16,16,pass
105,15,3,3,5,2,3,1,1,4,0,4,3,3,1,1,4,10,1,0,0,1,1,0,0,0,0,1,1,0,1,10,10,pass
106,15,2,2,5,5,1,2,1,4,0,5,1,2,1,1,3,4,1,0,1,1,1,1,0,0,1,1,1,0,1,10,10,pass
107,16,3,3,3,5,2,1,1,3,0,5,3,3,1,1,5,4,0,0,1,1,0,1,1,0,1,1,1,0,1,13,14,pass
108,15,4,4,5,5,2,1,4,4,0,1,3,5,3,5,1,8,0,0,1,0,0,1,1,0,1,1,1,1,1,12,10,pass
109,16,4,4,2,2,4,2,1,3,0,5,4,5,1,1,4,2,1,1,1,1,0,1,1,0,1,1,1,1,1,15,15,pass
110,15,4,4,4,4,1,2,1,1,0,5,5,3,1,1,4,4,0,1,0,1,0,0,1,0,1,1,1,0,1,13,14,pass
111,16,3,3,3,5,3,1,1,3,0,4,1,2,1,1,2,4,1,0,1,0,1,1,1,0,1,1,1,0,1,11,11,pass
112,16,2,2,1,5,2,2,1,2,1,3,1,2,1,1,5,12,1,0,1,1,1,0,1,0,1,1,1,0,1,8,10,pass
113,15,4,2,4,5,1,2,1,1,0,3,5,2,1,1,3,10,0,1,1,1,0,0,0,0,1,1,1,0,1,18,17,pass
114,15,2,1,2,3,3,2,1,2,0,5,4,2,1,1,5,4,0,0,1,0,0,0,1,0,1,1,1,1,1,10,9,pass
115,16,4,4,4,4,1,1,1,2,0,5,4,4,1,2,5,6,0,0,1,1,0,1,1,0,1,1,1,0,1,16,14,pass
116,15,4,4,5,4,3,1,2,2,0,4,4,3,1,1,2,4,0,0,1,1,0,1,1,0,0,1,1,0,1,16,15,pass
117,16,3,3,5,3,2,1,2,1,0,5,4,2,1,1,5,6,0,0,1,1,0,0,1,0,1,1,1,0,1,14,14,pass
118,17,1,3,5,5,1,1,3,2,1,5,2,4,1,4,5,14,0,0,1,0,0,1,1,0,1,1,1,0,1,12,11,pass
119,15,3,4,5,5,3,1,1,1,0,3,4,3,1,2,4,2,0,0,1,1,0,0,0,0,1,1,1,0,1,14,13,pass
120,15,1,2,1,3,1,2,1,2,0,3,2,3,1,2,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,14,14,pass
121,15,2,2,3,3,2,1,1,4,0,5,5,4,1,2,5,6,0,0,1,1,0,1,1,0,1,1,1,0,1,14,13,pass
122,16,2,4,5,2,1,1,2,2,0,4,2,2,1,2,5,2,1,1,1,1,0,1,1,0,1,1,1,1,1,14,12,pass
123,16,4,4,2,5,1,2,1,1,0,3,4,4,1,4,5,4,0,0,1,1,0,1,1,0,1,1,1,0,1,12,13,pass
124,16,2,2,5,5,2,2,1,2,0,5,4,4,1,1,5,0,1,0,1,1,0,0,0,0,1,1,1,1,1,12,11,pass
125,15,3,4,3,3,2,1,1,1,0,5,5,5,3,2,5,2,0,0,1,1,1,0,0,0,1,1,1,0,1,9,9,fail
126,15,3,4,5,5,2,2,1,2,0,5,3,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,10,11,pass
127,19,0,1,1,5,1,3,1,2,2,3,4,2,1,1,5,0,1,0,1,1,0,1,0,0,0,0,0,0,1,9,10,pass
128,16,4,4,4,4,1,2,1,1,0,3,5,5,2,5,4,8,0,0,1,0,0,0,1,0,1,1,1,0,1,14,14,pass
129,16,2,3,5,5,1,2,2,3,0,3,2,3,2,2,1,4,0,0,1,1,0,1,0,0,1,0,1,1,1,13,12,pass
130,15,3,4,3,4,1,1,2,3,0,4,2,2,2,2,5,0,1,0,1,0,0,1,0,0,1,1,1,1,1,10,11,pass
131,18,2,1,3,5,3,2,1,2,3,5,4,5,1,3,5,10,1,0,1,1,0,1,1,0,1,1,0,1,1,10,9,fail
132,17,2,1,5,5,1,2,3,1,0,3,2,2,1,2,5,8,1,1,0,1,0,1,0,0,1,1,1,0,1,11,10,pass
133,15,1,1,1,5,1,2,3,1,0,4,3,3,1,2,4,6,1,0,1,1,0,1,1,0,1,0,1,1,1,11,12,pass
134,17,2,2,5,5,1,1,1,1,0,3,4,4,1,3,5,2,1,1,1,1,0,1,0,0,1,1,1,1,1,13,12,pass
135,16,3,4,3,5,1,1,1,1,0,3,2,1,1,4,5,12,1,0,0,1,0,0,0,0,1,1,1,0,1,15,13,pass
136,16,2,1,1,5,1,2,4,1,0,3,2,1,1,1,2,4,0,0,1,1,0,0,0,0,0,1,1,0,1,9,9,pass
137,16,2,2,5,5,2,2,1,1,1,5,3,4,1,1,5,12,1,0,0,1,0,0,0,0,0,1,1,0,1,13,11,pass
138,15,3,4,1,4,1,2,4,2,0,5,3,3,1,1,5,2,0,0,1,0,0,1,0,0,0,1,1,1,1,12,11,pass
139,15,4,4,3,1,1,2,1,3,0,4,3,3,1,1,5,4,1,0,1,1,0,1,1,0,1,1,1,1,1,13,14,pass
140,17,3,4,1,5,1,2,3,2,0,5,4,5,2,4,5,2,0,0,1,0,0,0,0,0,0,1,1,0,1,10,9,pass
141,16,1,1,1,5,1,2,4,2,0,5,1,3,1,1,3,0,1,0,1,0,0,1,0,0,0,1,1,0,1,14,13,pass
142,18,3,1,3,3,1,2,2,1,0,3,3,4,4,5,4,2,0,1,1,1,0,0,1,0,1,1,1,1,1,11,11,pass
143,18,3,2,5,3,1,3,1,3,0,4,3,3,5,1,5,10,1,0,0,1,0,1,1,0,1,0,1,1,1,12,11,pass
144,16,1,1,5,3,3,2,2,1,0,3,3,3,1,2,1,8,1,0,1,0,0,1,1,0,0,1,1,1,1,12,11,pass
145,16,3,3,5,5,1,3,2,1,0,4,3,2,1,1,5,4,1,0,0,1,0,1,1,0,1,0,1,1,1,9,9,pass
146,16,1,1,3,5,1,2,1,2,2,4,4,4,1,3,5,0,0,1,1,1,0,0,0,0,0,1,1,1,1,10,10,pass
147,15,4,4,4,4,1,2,2,1,0,4,3,2,1,1,5,6,1,0,1,1,0,0,1,0,1,1,1,0,1,13,14,pass
